"Device";"#ospf";"#bgp";"#mac";"#arp"
"rlyo-coreg";"1";;"78";"36"
"rlyo-cored";"1";;"80";"46"
"smdn1-rc-2-3";;;"158";"6"
"salpes-bur-4-ed3-sav-1";;;"28";"4"
"smdn1-rc-2-1";;;"158";"6"
"smdn1-rc-2-2";;;"158";"6"
"rcbv-twin-1";;"1";"53";"12"
"scbv-interco";;;"52";"5"
"fdat-adm-d";;;"8";"9"
"slyo-spoke-be-2";;;"174";"6"
"slyo-spoke-be-1";;;"174";"6"
"s9tv-be-d2";;;"52";"3"
"s9tv-be-d1";;;"52";"3"
"rcbv-pandore";;;"1";"4"
"smar-cr223-4-2";;;"162";"3"
"smar-cr223-4-3";;;"162";"3"
"fdat-adm-g";;;"8";"9"
"smar-cr223-4-1";;;"162";"3"
"sorl-dsp";;;"25";"2"
"flyo-fed-be-pre";;;"14";"3"
"slyo-f1";;;"27";"2"
"c29-bordeaux";;;"27";"2"
"slyo-i4-save-1";;;"21";"3"
"sdmn2-dmz-3b";;;"53";"3"
"smdn2-4a-e4-1";;;"210";"4"
"smdn2-4a-e4-2";;;"210";"4"
"smdn2-4a-e4-3";;;"210";"4"
"smdn2-4a-e4-4";;;"210";"4"
"sncy-bur";;;"27";"4"
"llbm-prod-v72-2";;;"17";"6"
"llbm-prod-v72-1";;;"19";"4"
"smdn2-1a-e1-3";;;"210";"4"
"smdn2-1a-e1-4";;;"210";"4"
"slyo-prep-ag2-mg-be-1";;;"20";"2"
"marse1-cr-interco2";;;"52";"3"
"slyo-arthius-nfs-be-1";;;"22";"2"
"slyo-arthius-nfs-be-2";;;"22";"2"
"sabv-spoke-be-2";;;"110";"21"
"svnx-spoke-n5-me-1";;;"21";"6"
"sabv-spoke-be-3";;;"109";"4"
"sabv-spoke-be-4";;;"109";"4"
"svnx-spoke-n5-me-2";;;"21";"5"
"scbv-hg0-1";;;"52";"8"
"sabv-spoke-be-1";;;"110";"21"
"slyo-arthius-me-1";;;"22";"2"
"slyo-spoke-mg-1";;;"173";"7"
"slyo-arthius-me-2";;;"22";"2"
"slyo-spoke-mg-2";;;"173";"7"
"smdn2-1a-e1-2";;;"210";"4"
"smdn2-1a-e1-1";;;"210";"4"
"sren-pfd2-i1";;;"54";"4"
"scbv-spoke-t16-mg-2";;;"21";"2"
"scbv-spoke-t16-mg-1";;;"21";"2"
"sqw-srv1";;;"52";"4"
"smdn1-01-1-1";;;"158";"7"
"smdn1-01-1-2";;;"158";"7"
"smdn1-01-1-3";;;"158";"7"
"ralpes-prod-ag1";"1";;"91";"509"
"scbv-savcd0-1vmw";;;"54";"6"
"fvnx-spoke-mg";;;"4";"242"
"scol-bur";;;"25";"2"
"slyo-spoke-k5-mg";;;"22";"2"
"rbron-coreg";"1";;"22";"373"
"sstr-bur1";;;"28";"2"
"rbron-cored";"1";;"24";"411"
"scbv-sup-bg0";;;"54";"6"
"fbron-supnagra";;;"8";"12"
"sabv-spoke-nb5-sw3-mg-1";;;"22";"2"
"fwqw-wifi";;;"10";"11"
"asa-root-2";;;"5";"8"
"asa-root-1";;;"5";"8"
"ralpes-prod-ad1";"1";;"91";"583"
"scbv-sup-bd0";;;"54";"6"
"flbm-ctxt-core";;;"12";"1"
"rren-spoke-1";;;"5";"31"
"rren-spoke-2";;;"5";"31"
