"";"AS 64777";"AS 65476";"AS 65000";"AS 64999";"AS 65533";"AS 64799"
"(ConfigDevice) A8RXCAA003LC7301";"1";;;;;
"(ConfigDevice) A8RXCAA004LC7301";"1";;;;;
"(ConfigDevice) A8RXCHA001LC2601";"1";;;;;
"(ConfigDevice) A8RXCHA001LC2602";"1";;;;;
"(ConfigDevice) A8RXCHA001MC2601";"1";;;;;
"(ConfigDevice) A8RXCHA001MC2602";"1";;;;;
"(ConfigDevice) A8RXLDF001LC2601";"1";;;;;
"(ConfigDevice) A8RXLDF001LC2602";"1";;;;;
"(ConfigDevice) A8RXLYO001LC7301";"1";;;;;
"(ConfigDevice) A8RXLYO002LC7301";"1";;;;;
"(ConfigDevice) CH2-00S-5CC";;;;;;
"(ConfigDevice) CH2-00S-6CC";;;;;;
"(ConfigDevice) CH2-00S-7CC";;;;;;
"(ConfigDevice) MARSE1-CR-SR1";;;;;;
"(ConfigDevice) MARSE1-CR-SR2";;;;;;
"(ConfigDevice) MARSE1-CR-SR3";;;;;;
"(ConfigDevice) NR0C0020";;;;;;
"(ConfigDevice) NR0C0021";;;;;;
"(ConfigDevice) R33VIL-BUR-LTP1-1";;;;;;
"(ConfigDevice) R33VIL-BUR-LTP1-2";;;;;;
"(ConfigDevice) R33VIL-BUR-LTP1-3";;;;;;
"(ConfigDevice) RABV-SPOKE-1";;;;;;
"(ConfigDevice) RABV-SPOKE-2";;;;;;
"(ConfigDevice) RALPES-BUR-AD3";;;;;;
"(ConfigDevice) RALPES-BUR-AG3";;;;;;
"(ConfigDevice) RALPES-CORE";;;;;;
"(ConfigDevice) RALPES-PROD-AD1";;;;;;
"(ConfigDevice) RALPES-PROD-AG1";;;;;;
"(ConfigDevice) RALPES-SAV-1";;;;;;
"(ConfigDevice) RALPES-SAV-2";;;;;;
"(ConfigDevice) RALPES-SAV-3";;;;;;
"(ConfigDevice) RALPES-SAV-4";;;;;;
"(ConfigDevice) RBDX-LAC-D-1";;;;;;
"(ConfigDevice) RBDX-LAC-D-2";;;;;;
"(ConfigDevice) RBDX-LAC-D-3";;;;;;
"(ConfigDevice) RBDX-LAC-G-1";;;;;;
"(ConfigDevice) RBDX-LAC-G-2";;;;;;
"(ConfigDevice) RBDX-LAC-G-3";;;;;;
"(ConfigDevice) RBDX-SPOKE-1";;;;;;
"(ConfigDevice) RBDX-SPOKE-2";;;;;;
"(ConfigDevice) RBOUL-SPOKE-1";;;;;;
"(ConfigDevice) RBOUL-SPOKE-2";;;;;;
"(ConfigDevice) RBRON-CORED";;;;;;
"(ConfigDevice) RBRON-COREG";;;;;;
"(ConfigDevice) RCBV-ACCORD";;;;;;
"(ConfigDevice) RCBV-AOL-VPN-1";;"1";;;;
"(ConfigDevice) RCBV-CETELEM";;;;;;
"(ConfigDevice) RCBV-CONSTRUCTEUR";;;;;;
"(ConfigDevice) RCBV-CORE";;;;;;
"(ConfigDevice) RCBV-INETHD1";;;;;;
"(ConfigDevice) RCBV-INETHG1";;;;;;
"(ConfigDevice) RCBV-NAGRA-MG-D";;;;;;
"(ConfigDevice) RCBV-NAGRA-MG-G";;;;;;
"(ConfigDevice) RCBV-PANDORE";;;;;;
"(ConfigDevice) RCBV-PRODAD1";;;;;;
"(ConfigDevice) RCBV-PRODAG1";;;;;;
"(ConfigDevice) RCBV-PROVINCE";;;;;;
"(ConfigDevice) RCBV-SIGMA";;;;;;
"(ConfigDevice) RCBV-SPOKE-1";;;"1";;;
"(ConfigDevice) RCBV-SPOKE-2";;;"1";;;
"(ConfigDevice) RCBV-TRADING-EUROP";;;;;;
"(ConfigDevice) RCBV-TWIN-1";;;;"1";;
"(ConfigDevice) RCBV-VTECHD0";;;;;;
"(ConfigDevice) RCBV-VTECHG0";;;;;;
"(ConfigDevice) RCORBAS-FED-1";;;;;;
"(ConfigDevice) RCORBAS-FED-2";;;;;;
"(ConfigDevice) RCORBAS";;;;;;
"(ConfigDevice) RFED-BK-D";;;;;;
"(ConfigDevice) RFED-BK-G";;;;;;
"(ConfigDevice) RFED-FE-D";;;;;"1";
"(ConfigDevice) RFED-FE-G";;;;;"1";
"(ConfigDevice) RLBM-CORE-V72-1";;;;;;
"(ConfigDevice) RLBM-SAV-V72-1";;;;;;
"(ConfigDevice) RLYO-BUR";;;;;;
"(ConfigDevice) RLYO-CORED";;;;;;
"(ConfigDevice) RLYO-COREG";;;;;;
"(ConfigDevice) RLYO-FED-BE-1";;;;;;
"(ConfigDevice) RLYO-FED-BE-2";;;;;;
"(ConfigDevice) RLYO-FED-FE-D";;;;;;"1"
"(ConfigDevice) RLYO-FED-FE-G";;;;;;"1"
"(ConfigDevice) RLYO-FED-HUB-1";;;;;;
"(ConfigDevice) RLYO-FED-HUB-2";;;;;;
"(ConfigDevice) RLYO-FED-SAV-1";;;;;;
"(ConfigDevice) RLYO-FED-SAV-2";;;;;;
"(ConfigDevice) RLYO-FED-SAV-3-1";;;;;;
"(ConfigDevice) RLYO-FED-SAV-3-2";;;;;;
"(ConfigDevice) RLYO-PRODD";;;;;;
"(ConfigDevice) RLYO-PRODG";;;;;;
"(ConfigDevice) RLYO-SAVD-1";;;;;;
"(ConfigDevice) RLYO-SAVD-2";;;;;;
"(ConfigDevice) RLYO-SAVG-1";;;;;;
"(ConfigDevice) RLYO-SAVG-2";;;;;;
"(ConfigDevice) RLYO-SPOKE-1";;;;;;
"(ConfigDevice) RLYO-SPOKE-2";;;;;;
"(ConfigDevice) RLYO-VTECHD";;;;;;
"(ConfigDevice) RLYO-VTECHG";;;;;;
"(ConfigDevice) RMDN2-2B-1";;;;;;
"(ConfigDevice) RMDN2-2B-2";;;;;;
"(ConfigDevice) ROB14-SAVE-COREAD";;;;;;
"(ConfigDevice) ROB14-SAVE-COREAG";;;;;;
"(ConfigDevice) ROB9-SAV-CORED";;;;;;
"(ConfigDevice) ROB9-SAV-COREG";;;;;;
"(ConfigDevice) RPAR-SPOKE-1";;;;;;
"(ConfigDevice) RPAR-SPOKE-2";;;;;;
"(ConfigDevice) RQW-CORED";;;;;;
"(ConfigDevice) RQW-COREG";;;;;;
"(ConfigDevice) RREI-BUR";;;;;;
"(ConfigDevice) RREN-SPOKE-1";;;;;;
"(ConfigDevice) RREN-SPOKE-2";;;;;;
"(ConfigDevice) RSTR-BUR";;;;;;
"(ConfigDevice) RVER-BUR";;;;;;
"(ConfigDevice) RVNX-SPOKE-1";;;"1";;;
"(ConfigDevice) RVNX-SPOKE-2";;;"1";;;
